element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,4,"=""133.4532""","=""0.0010""","=""133.4539""","=""0.0005""","=""300""","=""""",,"=""24096.03""","=""99028.26""","=""5d3""","=""2G""","=""9/2""","=""5d2.(3F).6p""","=""4G*""","=""9/2""",,"=""""","=""L6352""",
W,4,"=""133.4574""","=""0.0010""","=""133.4579""","=""0.0005""","=""200""","=""""",,"=""27937.63""","=""102867.63""","=""5d3""","=""2F""","=""5/2""","=""5d2.(3F).6p""","=""2F*""","=""7/2""",,"=""""","=""L6352""",
W,5,"=""133.4841""","=""0.0010""","=""133.4832""","=""0.0005""","=""75""","=""""",,"=""58514.2""","=""133430.0""","=""5d.6s""","=""3D""","=""1""","=""5d.(2D<3/2>).6p""","=""(3/2,3/2)*""","=""2""",,"=""""","=""L6650""",
W,3,"=""133.5008""","=""0.0010""","=""133.5006""","=""0.0005""","=""10""","=""""",,"=""29855.75""","=""104761.77""","=""5d3.(2P).6s""","=""3P""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""133.5774""","=""0.0010""","=""133.5774""","=""0.0005""","=""10bl""","=""""",,"=""51002.73""","=""125865.71""","=""5d2.6s2""","=""3F""","=""3""","=""5d2.(3P).6s.6p.(1P*)""","=""3D*""","=""3""",,"=""""","=""L10405""",
W,3,"=""133.5802""","=""0.0010""","=""133.5802""","=""0.0005""","=""3bl""","=""""",,"=""31838.58""","=""106699.96""","=""""","=""""","=""1""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,7,"=""133.5899""","=""0.0010""","=""133.5902""","=""0.0005""","=""500""","=""""",,"=""438026.0""","=""512881.8""","=""4f13.(2F*<7/2>).5p6.6s""","=""(7/2,1/2)*""","=""3""","=""4f13.(2F*<7/2>).5p6.6p""","=""(7/2,1/2)""","=""3""",,"=""""","=""L3694""",
W,3,"=""133.6244""","=""0.0010""","=""133.6245""","=""0.0005""","=""50""","=""""",,"=""36226.46""","=""111063.06""","=""""","=""""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""133.6525""","=""0.0010""","=""133.6524""","=""0.0005""","=""50""","=""""",,"=""13992.14""","=""88813.10""","=""5d4""","=""3F2""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""133.6625""","=""0.0010""","=""133.6623""","=""0.0005""","=""10""","=""""",,"=""7686.68""","=""82502.08""","=""5d4""","=""5D""","=""4""","=""5d3.(2G).6p""","=""3G*""","=""4""",,"=""""","=""L10405""",
W,4,"=""133.6823""","=""0.0010""","=""133.6820""","=""0.0005""","=""20""","=""""",,"=""28412.13""","=""103216.51""","=""5d3""","=""2F""","=""7/2""","=""5d2.(3F).6p""","=""4D*""","=""5/2""",,"=""""","=""L6352""",
W,3,"=""133.6889""","=""0.0010""","=""133.6887""","=""0.0005""","=""50""","=""""",,"=""14899.80""","=""89700.42""","=""5d4""","=""3F2""","=""3""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,3,"=""133.6993""","=""0.0010""","=""133.6993""","=""0.0005""","=""10""","=""""",,"=""26588.54""","=""101383.26""","=""5d4""","=""1G2""","=""4""","=""5d2.(3F).6s.6p.(3P*)""","=""3F*""","=""3""",,"=""""","=""L10405""",
W,4,"=""133.7104""","=""0.0010""","=""133.7103""","=""0.0005""","=""20""","=""""",,"=""35093.78""","=""109882.34""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3P).6p""","=""4S*""","=""3/2""",,"=""""","=""L6352""",
W,3,"=""133.7704""","=""0.0010""","=""133.7702""","=""0.0005""","=""100""","=""""",,"=""4461.19""","=""79216.24""","=""5d4""","=""5D""","=""2""","=""5d3.(4P).6p""","=""5P*""","=""1""",,"=""""","=""L10405""",
W,4,"=""133.7765""","=""0.0010""","=""133.7770""","=""0.0005""","=""10""","=""""",,"=""59628.18""","=""134379.44""","=""5d2.(3P).6s""","=""2P""","=""1/2""","=""5d.(2D).6s.6p.(3P*)""","=""4D*""","=""1/2""",,"=""""","=""L6352""",
W,3,"=""133.7925""","=""0.0010""","=""133.7925""","=""0.0005""","=""300bl""","=""""",,"=""19632.05""","=""94374.63""","=""5d3.(4F).6s""","=""5F""","=""5""","=""5d3.(2F).6p""","=""3G*""","=""4""",,"=""""","=""L10405""",
W,3,"=""133.8167""","=""0.0010""","=""133.8169""","=""0.0005""","=""100bl*""","=""""",,"=""13700.95""","=""88429.94""","=""5d4""","=""3H""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""133.8167""","=""0.0010""","=""133.8171""","=""0.0005""","=""100bl*""","=""""",,"=""36467.29""","=""111196.15""","=""""","=""""","=""4""","=""5d3.(2D1).6p""","=""3F*""","=""4""",,"=""""","=""L10405""",
W,3,"=""133.8512""","=""0.0010""","=""133.8513""","=""0.0005""","=""50""","=""""",,"=""36353.31""","=""111063.06""","=""""","=""""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,4,"=""133.8695""","=""0.0010""","=""133.8699""","=""0.0005""","=""20""","=""""",,"=""25167.81""","=""99867.18""","=""5d3""","=""2P""","=""3/2""","=""5d2.(1D).6p""","=""2D*""","=""3/2""",,"=""""","=""L6352""",
W,3,"=""133.8780""","=""0.0010""","=""133.8784""","=""0.0005""","=""200""","=""""",,"=""27252.53""","=""101947.18""","=""5d3.(4P).6s""","=""5P""","=""3""","=""5d3.(2D1).6p""","=""3F*""","=""2""",,"=""""","=""L10405""",
W,3,"=""133.9289""","=""0.0010""","=""133.9288""","=""0.0005""","=""50""","=""""",,"=""20696.62""","=""95363.16""","=""5d4""","=""3D""","=""2""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""133.9360""","=""0.0010""","=""133.9363""","=""0.0005""","=""50""","=""""",,"=""15038.04""","=""89700.42""","=""5d3.(4F).6s""","=""5F""","=""3""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,3,"=""133.9465""","=""0.0010""","=""133.9466""","=""0.0005""","=""3""","=""""",,"=""19851.87""","=""94508.46""","=""5d4""","=""3G""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""133.9819""","=""0.0010""","=""133.9818""","=""0.0005""","=""1""","=""""",,"=""36226.46""","=""110863.47""","=""""","=""""","=""3""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.0156""","=""0.0010""","=""134.0160""","=""0.0005""","=""100""","=""""",,"=""33631.43""","=""108249.41""","=""""","=""""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.0558""","=""0.0010""","=""134.0559""","=""0.0005""","=""20""","=""""",,"=""36467.29""","=""111063.06""","=""""","=""""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,4,"=""134.0638""","=""0.0010""","=""134.0640""","=""0.0005""","=""200""","=""""",,"=""39029.73""","=""113620.96""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""5d2.(3F).6p""","=""2D*""","=""5/2""",,"=""""","=""L6352""",
W,3,"=""134.0921""","=""0.0010""","=""134.0913""","=""0.0005""","=""100bl*""","=""""",,"=""22955.03""","=""97531.10""","=""5d3.(4P).6s""","=""5P""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.0921""","=""0.0010""","=""134.0929""","=""0.0005""","=""100bl*""","=""""",,"=""2256.20""","=""76831.39""","=""5d4""","=""5D""","=""1""","=""5d3.(4P).6p""","=""5D*""","=""2""",,"=""""","=""L10405""",
W,4,"=""134.1000""","=""0.0010""","=""134.1001""","=""0.0005""","=""50""","=""""",,"=""49337.04""","=""123908.20""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""5d2.(1G).6p""","=""2F*""","=""7/2""",,"=""""","=""L6352""",
W,3,"=""134.1228""","=""0.0010""","=""134.1229""","=""0.0005""","=""50""","=""""",,"=""10968.54""","=""85527.01""","=""5d3.(4F).6s""","=""5F""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.1257""","=""0.0010""","=""134.1260""","=""0.0005""","=""10""","=""""",,"=""30507.27""","=""105064.05""","=""5d3.(2G).6s""","=""3G""","=""4""","=""5d2.(3F).6s.6p.(1P*)""","=""3G*""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.1814""","=""0.0010""","=""134.1813""","=""0.0005""","=""5bl""","=""""",,"=""30507.27""","=""105033.31""","=""5d3.(2G).6s""","=""3G""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.1847""","=""0.0010""","=""134.1847""","=""0.0005""","=""100""","=""""",,"=""7686.68""","=""82210.83""","=""5d4""","=""5D""","=""4""","=""5d3.(2H).6p""","=""3I*""","=""5""",,"=""""","=""L10405""",
W,3,"=""134.2040""","=""0.0010""","=""134.2043""","=""0.0005""","=""10""","=""""",,"=""28062.95""","=""102576.20""","=""5d3.(4F).6s""","=""3F""","=""2""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.2095""","=""0.0010""","=""134.2099""","=""0.0005""","=""20""","=""""",,"=""36353.31""","=""110863.47""","=""""","=""""","=""2""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.2408""","=""0.0010""","=""134.2411""","=""0.0005""","=""3""","=""""",,"=""22212.08""","=""96704.93""","=""5d4""","=""3D""","=""3""","=""5d2.(3F).6s.6p.(3P*)""","=""5D*""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.2514""","=""0.0010""","=""134.2516""","=""0.0005""","=""20""","=""""",,"=""29800.86""","=""104287.86""","=""5d3.(2P).6s""","=""3P""","=""2""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.2550""","=""0.0010""","=""134.2553""","=""0.0005""","=""5""","=""""",,"=""9904.30""","=""84389.26""","=""5d4""","=""3P2""","=""0""","=""5d3.(2P).6p""","=""3P*""","=""1""",,"=""""","=""L10405""",
W,4,"=""134.3080""","=""0.0010""","=""134.3084""","=""0.0005""","=""50""","=""""",,"=""28412.13""","=""102867.63""","=""5d3""","=""2F""","=""7/2""","=""5d2.(3F).6p""","=""2F*""","=""7/2""",,"=""""","=""L6352""",
W,3,"=""134.3355""","=""0.0010""","=""134.3356""","=""0.0005""","=""20""","=""""",,"=""12427.09""","=""86867.50""","=""5d3.(4F).6s""","=""5F""","=""2""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.3396""","=""0.0010""","=""134.3400""","=""0.0005""","=""20*""","=""""",,"=""20696.62""","=""95134.61""","=""5d4""","=""3D""","=""2""","=""5d2.(3P).6s.6p.(3P*)""","=""5D*""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.3396""","=""0.0010""","=""134.3401""","=""0.0005""","=""20*""","=""""",,"=""12427.09""","=""86865.05""","=""5d3.(4F).6s""","=""5F""","=""2""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""134.3396""","=""0.0010""","=""134.3403""","=""0.0005""","=""20*""","=""""",,"=""13992.14""","=""88429.94""","=""5d4""","=""3F2""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.3506""","=""0.0010""","=""134.3506""","=""0.0005""","=""20""","=""""",,"=""29855.75""","=""104287.86""","=""5d3.(2P).6s""","=""3P""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.3542""","=""0.0010""","=""134.3542""","=""0.0005""","=""50""","=""""",,"=""14899.80""","=""89329.95""","=""5d4""","=""3F2""","=""3""","=""5d2.(3F).6s.6p.(3P*)""","=""5F*""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.3765""","=""0.0010""","=""134.3760""","=""0.0005""","=""10bl""","=""""",,"=""22212.08""","=""96630.14""","=""5d4""","=""3D""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.4160""","=""0.0010""","=""134.4162""","=""0.0005""","=""200""","=""""",,"=""17380.40""","=""91776.22""","=""5d3.(4F).6s""","=""5F""","=""4""","=""5d2.(3F).6s.6p.(3P*)""","=""3F*""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.4224""","=""0.0010""","=""134.4231""","=""0.0005""","=""20""","=""""",,"=""41403.97""","=""115795.95""","=""5d3.(2F).6s""","=""3F""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.4296""","=""0.0010""","=""134.4300""","=""0.0005""","=""10""","=""""",,"=""39321.27""","=""113709.40""","=""5d3.(2D2).6s""","=""3D""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.4338""","=""0.0010""","=""134.4340""","=""0.0005""","=""10""","=""""",,"=""39344.94""","=""113730.91""","=""""","=""""","=""2""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""134.4396""","=""0.0010""","=""134.4396""","=""0.0005""","=""100""","=""""",,"=""17380.40""","=""91763.26""","=""5d3.(4F).6s""","=""5F""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.4728""","=""0.0010""","=""134.4728""","=""0.0005""","=""20""","=""""",,"=""39344.94""","=""113709.40""","=""""","=""""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.5007""","=""0.0010""","=""134.5008""","=""0.0005""","=""20""","=""""",,"=""22212.08""","=""96561.09""","=""5d4""","=""3D""","=""3""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.5163""","=""0.0010""","=""134.5160""","=""0.0005""","=""100bl""","=""""",,"=""14899.80""","=""89240.38""","=""5d4""","=""3F2""","=""3""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.5439""","=""0.0010""","=""134.5437""","=""0.0005""","=""200""","=""""",,"=""4461.19""","=""78786.47""","=""5d4""","=""5D""","=""2""","=""5d3.(4P).6p""","=""5P*""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.6041""","=""0.0010""","=""134.6042""","=""0.0005""","=""100*""","=""""",,"=""15038.04""","=""89329.95""","=""5d3.(4F).6s""","=""5F""","=""3""","=""5d2.(3F).6s.6p.(3P*)""","=""5F*""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.6041""","=""0.0010""","=""134.6044""","=""0.0005""","=""100*""","=""""",,"=""36904.37""","=""111196.15""","=""5d3.(2H).6s""","=""3H""","=""5""","=""5d3.(2D1).6p""","=""3F*""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.6243""","=""0.0010""","=""134.6243""","=""0.0005""","=""5""","=""""",,"=""6277.81""","=""80558.62""","=""5d4""","=""5D""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.6310""","=""0.0010""","=""134.6311""","=""0.0005""","=""3""","=""""",,"=""33972.34""","=""108249.41""","=""""","=""""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,4,"=""134.6819""","=""0.0010""","=""134.6819""","=""0.0005""","=""80""","=""""",,"=""52828.24""","=""127077.24""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""5d2.(1G).6p""","=""2F*""","=""5/2""",,"=""""","=""L6352""",
W,3,"=""134.7020""","=""0.0010""","=""134.7018""","=""0.0005""","=""50bl""","=""""",,"=""19632.05""","=""93870.12""","=""5d3.(4F).6s""","=""5F""","=""5""","=""5d3.(2H).6p""","=""1I*""","=""6""",,"=""""","=""L10405""",
W,3,"=""134.7069""","=""0.0010""","=""134.7070""","=""0.0005""","=""100""","=""""",,"=""19632.05""","=""93867.25""","=""5d3.(4F).6s""","=""5F""","=""5""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.7287""","=""0.0010""","=""134.7287""","=""0.0005""","=""40""","=""""",,"=""31821.76""","=""106044.97""","=""5d3.(2G).6s""","=""3G""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,4,"=""134.7407""","=""0.0010""","=""134.7413""","=""0.0005""","=""50""","=""""",,"=""51860.40""","=""126076.70""","=""5d2.(1D).6s""","=""2D""","=""3/2""","=""5d2.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L6352""",
W,3,"=""134.7533""","=""0.0010""","=""134.7539""","=""0.0005""","=""80""","=""""",,"=""33631.43""","=""107840.81""","=""""","=""""","=""4""","=""5d2.(1G).6s.6p.(3P*)""","=""3F*""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.7666""","=""0.0010""","=""134.7666""","=""0.0005""","=""3""","=""""",,"=""15038.04""","=""89240.38""","=""5d3.(4F).6s""","=""5F""","=""3""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""134.8413""","=""0.0010""","=""134.8416""","=""0.0005""","=""10""","=""""",,"=""13700.95""","=""87862.02""","=""5d4""","=""3H""","=""4""","=""""","=""""","=""5""",,"=""""","=""L10405""",
W,3,"=""134.8468""","=""0.0010""","=""134.8470""","=""0.0005""","=""3""","=""""",,"=""42615.95""","=""116774.06""","=""5d3.(2F).6s""","=""3F""","=""3""","=""5d2.(1G).6s.6p.(3P*)""","=""3F*""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.8602""","=""0.0010""","=""134.8594""","=""0.0005""","=""80*""","=""""",,"=""12427.09""","=""86578.41""","=""5d3.(4F).6s""","=""5F""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.8602""","=""0.0010""","=""134.8608""","=""0.0005""","=""80*""","=""""",,"=""28977.44""","=""103127.98""","=""5d3.(2H).6s""","=""3H""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.8679""","=""0.0010""","=""134.8679""","=""0.0005""","=""100""","=""""",,"=""19632.05""","=""93778.68""","=""5d3.(4F).6s""","=""5F""","=""5""","=""""","=""""","=""5""",,"=""""","=""L10405""",
W,3,"=""134.8967""","=""0.0010""","=""134.8968""","=""0.0005""","=""1""","=""""",,"=""27252.53""","=""101383.26""","=""5d3.(4P).6s""","=""5P""","=""3""","=""5d2.(3F).6s.6p.(3P*)""","=""3F*""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.9128""","=""0.0010""","=""134.9129""","=""0.0005""","=""5bl""","=""""",,"=""2256.20""","=""76378.09""","=""5d4""","=""5D""","=""1""","=""5d3.(4P).6p""","=""5D*""","=""1""",,"=""""","=""L10405""",
W,3,"=""134.9173""","=""0.0010""","=""134.9174""","=""0.0005""","=""10""","=""""",,"=""42615.95""","=""116735.40""","=""5d3.(2F).6s""","=""3F""","=""3""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.9254""","=""0.0010""","=""134.9255""","=""0.0005""","=""30""","=""""",,"=""47181.63""","=""121296.58""","=""""","=""""","=""4""","=""5d2.(1G).6s.6p.(1P*)""","=""1G*""","=""4""",,"=""""","=""L10405""",
W,3,"=""134.9968""","=""0.0010""","=""134.9966""","=""0.0005""","=""100*""","=""""",,"=""20432.53""","=""94508.46""","=""5d4""","=""3G""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""134.9968""","=""0.0010""","=""134.9971""","=""0.0005""","=""100*""","=""""",,"=""10968.54""","=""85044.18""","=""5d3.(4F).6s""","=""5F""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,4,"=""135.0219""","=""0.0010""","=""135.0220""","=""0.0005""","=""40""","=""""",,"=""32692.40""","=""106754.40""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""5d2.(3F).6p""","=""2F*""","=""5/2""",,"=""""","=""L6352""",
W,3,"=""135.0254""","=""0.0010""","=""135.0256""","=""0.0005""","=""40*""","=""""",,"=""12427.09""","=""86487.10""","=""5d3.(4F).6s""","=""5F""","=""2""","=""5d2.(3F).6s.6p.(3P*)""","=""5F*""","=""2""",,"=""""","=""L10405""",
W,3,"=""135.0254""","=""0.0010""","=""135.0258""","=""0.0005""","=""40*""","=""""",,"=""45388.55""","=""119448.46""","=""""","=""""","=""2""","=""5d2.(1G).6s.6p.(3P*)""","=""3F*""","=""2""",,"=""""","=""L10405""",
W,3,"=""135.0434""","=""0.0010""","=""135.0439""","=""0.0005""","=""1""","=""""",,"=""41570.01""","=""115619.98""","=""5d3.(2P).6s""","=""1P""","=""1""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""135.1068""","=""0.0010""","=""135.1071""","=""0.0005""","=""40""","=""""",,"=""19851.87""","=""93867.25""","=""5d4""","=""3G""","=""3""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,3,"=""135.1272""","=""0.0010""","=""135.1271""","=""0.0005""","=""10bl""","=""""",,"=""42615.95""","=""116620.34""","=""5d3.(2F).6s""","=""3F""","=""3""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,4,"=""135.1383""","=""0.0010""","=""135.1383""","=""0.0005""","=""4""","=""""",,"=""47679.55""","=""121677.79""","=""5d2.(3P).6s""","=""4P""","=""3/2""","=""5d2.(3P).6p""","=""2P*""","=""1/2""",,"=""""","=""L6352""",
W,3,"=""135.1595""","=""0.0010""","=""135.1598""","=""0.0005""","=""50""","=""""",,"=""12881.03""","=""86867.50""","=""5d4""","=""3P2""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""135.1643""","=""0.0010""","=""135.1643""","=""0.0005""","=""100""","=""""",,"=""12881.03""","=""86865.05""","=""5d4""","=""3P2""","=""1""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,4,"=""135.1643""","=""0.0010""","=""135.1649""","=""0.0005""","=""100""","=""""",,"=""43741.52""","=""117725.20""","=""5d3""","=""2D1""","=""3/2""","=""5d2.(1D).6p""","=""2P*""","=""1/2""",,"=""""","=""L6352""",
W,3,"=""135.2010""","=""0.0010""","=""135.2010""","=""0.0005""","=""1""","=""""",,"=""24097.14""","=""98061.07""","=""5d4""","=""3D""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,3,"=""135.2131""","=""0.0010""","=""135.2136""","=""0.0005""","=""80""","=""""",,"=""28391.09""","=""102348.13""","=""5d3.(4F).6s""","=""3F""","=""3""","=""5d2.(3P).6s.6p.(3P*)""","=""5D*""","=""3""",,"=""""","=""L10405""",
W,3,"=""135.2406""","=""0.0010""","=""135.2410""","=""0.0005""","=""30""","=""""",,"=""20432.53""","=""94374.63""","=""5d4""","=""3G""","=""4""","=""5d3.(2F).6p""","=""3G*""","=""4""",,"=""""","=""L10405""",
W,3,"=""135.2933""","=""0.0010""","=""135.2936""","=""0.0005""","=""80""","=""""",,"=""14899.80""","=""88813.10""","=""5d4""","=""3F2""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""135.2997""","=""0.0010""","=""135.3000""","=""0.0005""","=""100""","=""""",,"=""23317.80""","=""97227.61""","=""5d4""","=""3G""","=""5""","=""5d3.(2F).6p""","=""3G*""","=""5""",,"=""""","=""L10405""",
W,3,"=""135.3364""","=""0.0010""","=""135.3368""","=""0.0005""","=""80""","=""""",,"=""13700.95""","=""87590.69""","=""5d4""","=""3H""","=""4""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,4,"=""135.3545""","=""0.0010""","=""135.3548""","=""0.0005""","=""500d""","=""""",,"=""49337.04""","=""123216.93""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""5d2.(3P).6p""","=""2D*""","=""5/2""",,"=""""","=""L6352""",
W,3,"=""135.3705""","=""0.0010""","=""135.3707""","=""0.0005""","=""20""","=""""",,"=""16621.08""","=""90492.33""","=""5d4""","=""3P2""","=""2""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""135.3971""","=""0.0010""","=""135.3974""","=""0.0005""","=""40""","=""""",,"=""12427.09""","=""86283.75""","=""5d3.(4F).6s""","=""5F""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""135.4049""","=""0.0010""","=""135.4054""","=""0.0005""","=""200""","=""""",,"=""31211.76""","=""105064.05""","=""5d3.(2G).6s""","=""3G""","=""5""","=""5d2.(3F).6s.6p.(1P*)""","=""3G*""","=""4""",,"=""""","=""L10405""",
W,3,"=""135.4110""","=""0.0010""","=""135.4113""","=""0.0005""","=""50""","=""""",,"=""28977.44""","=""102826.51""","=""5d3.(2H).6s""","=""3H""","=""4""","=""5d2.(3P).6s.6p.(3P*)""","=""5D*""","=""4""",,"=""""","=""L10405""",
W,3,"=""135.4253""","=""0.0010""","=""135.4260""","=""0.0005""","=""80bl""","=""""",,"=""37769.78""","=""111610.84""","=""5d3.(4F).6s""","=""3F""","=""4""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,7,"=""135.4341""","=""0.0010""","=""135.4344""","=""0.0005""","=""2000""","=""""",,"=""443237.3""","=""517073.8""","=""4f14.5p5.(2P*<3/2>).6s""","=""(3/2,1/2)*""","=""2""","=""4f14.5p5.(2P*<3/2>).6p""","=""(3/2,1/2)""","=""1""",,"=""""","=""L3694""",
W,4,"=""135.4484""","=""0.0010""","=""135.4489""","=""0.0005""","=""400""","=""""",,"=""35093.78""","=""108922.34""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3F).6p""","=""4D*""","=""3/2""",,"=""""","=""L6352""",
W,3,"=""135.4883""","=""0.0010""","=""135.4886""","=""0.0005""","=""50""","=""""",,"=""31821.76""","=""105628.72""","=""5d3.(2G).6s""","=""3G""","=""3""","=""5d2.(1G).6s.6p.(3P*)""","=""3H*""","=""4""",,"=""""","=""L10405""",
W,3,"=""135.4929""","=""0.0010""","=""135.4929""","=""0.0005""","=""80""","=""""",,"=""0.00""","=""73804.59""","=""5d4""","=""5D""","=""0""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""135.5353""","=""0.0010""","=""135.5352""","=""0.0005""","=""80""","=""""",,"=""17380.40""","=""91161.95""","=""5d3.(4F).6s""","=""5F""","=""4""","=""""","=""""","=""5""",,"=""""","=""L10405""",
W,3,"=""135.5468""","=""0.0010""","=""135.5472""","=""0.0005""","=""100""","=""""",,"=""15038.04""","=""88813.10""","=""5d3.(4F).6s""","=""5F""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""135.5739""","=""0.0010""","=""135.5740""","=""0.0005""","=""10bl""","=""""",,"=""29512.01""","=""103272.45""","=""5d3.(2P).6s""","=""3P""","=""0""","=""""","=""""","=""1""",,"=""""","=""L10405""",
W,3,"=""135.6086""","=""0.0010""","=""135.6089""","=""0.0005""","=""80""","=""""",,"=""18376.40""","=""92117.89""","=""5d4""","=""3F2""","=""4""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,4,"=""135.6299""","=""0.0010""","=""135.6301""","=""0.0005""","=""30""","=""""",,"=""59628.18""","=""133358.14""","=""5d2.(3P).6s""","=""2P""","=""1/2""","=""5d2.(1S).6p""","=""2P*""","=""1/2""",,"=""""","=""L6352""",
W,3,"=""135.6408""","=""0.0010""","=""135.6412""","=""0.0005""","=""80""","=""""",,"=""36226.46""","=""109950.38""","=""""","=""""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,3,"=""135.6450""","=""0.0010""","=""135.6451""","=""0.0005""","=""100""","=""""",,"=""23317.80""","=""97039.60""","=""5d4""","=""3G""","=""5""","=""5d2.(3F).6s.6p.(3P*)""","=""5G*""","=""6""",,"=""""","=""L10405""",
W,4,"=""135.6792""","=""0.0010""","=""135.6796""","=""0.0005""","=""2""","=""""",,"=""56415.54""","=""130118.60""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""5d.(2D).6s.6p.(3P*)""","=""4F*""","=""3/2""",,"=""""","=""L6352""",
